Url	LinkId	Text	Section text	Reviewer	Comment
http://canshare.com/fhir/Questionnaire/pleural/pericardialtumourrequestform	reviewercommentsoncl1	Reviewer comments on clinical information about tumour	Clinical information about tumour	No practitioner supplied	A test comment
http://canshare.com/fhir/Questionnaire/mdmdatastandard	reviewercomments1	Reviewer comments	Patient Summary	Pennie Symmans  Middlemore Hospital	Is this MDM summary intended to be a living document which gets added to as the patient has initial treatment, maybe has a recurrence, has different treatment, maybe a metastasis with further surgery etc? Some MDMs are a one-off where patients are not often rediscussed (eg Breast), some are full of patients who are regularly re-discussed (eg Sarcoma). I don't quite see how this form works smoothly for the latter. eg why would you need to re-enter previous treatment history if the previous treatment was also recommended by the MDM? It seems a clumsy document for more complex MDMs.
http://canshare.com/fhir/Questionnaire/mdmdatastandard	reviewercomments3	Reviewer comments	MDM meeting details	Pennie Symmans  Middlemore Hospital	The MDM is attended by core members who generally stay for the entire meeting or for designated sections of the meeting, with a group of non-core members who may attend for just one case. The MDMs I attend last for 90 to >180 minutes. I don't know how we are meant to accurately capture this attendee data, it seems very impractical. We already struggle to get through the cases, so anything which makes the MDM more cumbersome is not welcome.
http://canshare.com/fhir/Questionnaire/breastreport-smalldiagnosticsamples	reviewerfeedbackonmi	Reviewer feedback on microscopic findings	Histology diagnosis - malignant	Rachel S  BCF	Hello #14. I can only select one architecture type (suggests multiple selection is available)
http://canshare.com/fhir/Questionnaire/BreastRequest	ReviewerCommentsonDemos	Reviewer comments on patient details	Patient Details	Sian Farr  National Screening Unit	Can't find/enter 'Māori' in ethnicity. DoB - should be mandatory?  Can date select year then month/day - else scrolling through calendar ad infinitum Age - should that be calculated from today-dob - I can't remember my own age these days Can the address link to an address finder?
http://canshare.com/fhir/Questionnaire/colorectaltumourrequestform	ReviewerCommentsonDemos	Reviewer comments on patient details	Patient Details	Matthew Drake  Canterbury	Nil.
http://canshare.com/fhir/Questionnaire/colorectaltumourrequestform	admincomments	Reviewer comments on admin	Administration	Matthew Drake  Canterbury	Nil
http://canshare.com/fhir/Questionnaire/colorectaltumourrequestform	reviewercommentson	Reviewer comments on clin info about patient	Clinical details - Diagnostic pathway	Matthew Drake  Canterbury	Nil
http://canshare.com/fhir/Questionnaire/colorectaltumourrequestform	reviewercommentsabou	Reviewer comments about the tumour	Clinical information about tumour	Matthew Drake  Canterbury	Nil
http://canshare.com/fhir/Questionnaire/colorectaltumourrequestform	reviewercommentsonop	Reviewer comments on operative procedure section	Operative procedure	Matthew Drake  Canterbury	We sometimes receive a pelvic exenteration to remove a rectal cancer.  This would probably fit ok under 'other' as is not particularly common.
http://canshare.com/fhir/Questionnaire/colorectaltumourrequestform	reviewercommentsonsp	Reviewer comments on specimen details and images	Specimen images	Matthew Drake  Canterbury	General comments:  the fields appear complete and accurate.  I don't see anything significant that is missing or needs changing.  Is there any indication about which fields would be mandatory vs optional in this process?
http://canshare.com/fhir/Questionnaire/cervical/vaginalrequestform	ReviewerCommentsonDemos	Reviewer comments on patient/screening participant details	Patient/screening participant details	No practitioner supplied	test
http://canshare.com/fhir/Questionnaire/thymic/mediastinalproforma	reviewercommentsoncl	Reviewer comments on clinical information	Clinical information - Autopopulated from request form	My name  Org	test
http://canshare.com/fhir/Questionnaire/thymic/mediastinalproforma	reviewercommentsonmi1	Reviewer comments on microscopic findings (small diagnostic sample pathway)	Microscopic findings - Small diagnostic sample pathway	My name  Org	test
http://canshare.com/fhir/Questionnaire/cervical/vaginalrequestform	admincomments	Reviewer comments on admin	Administrative information for request	Carina Miles  MMH	May be useful to know if the patient is in the HSOC pathway
http://canshare.com/fhir/Questionnaire/colorectaltumourrequestform	reviewercommentson	Reviewer comments on clin info about patient	Clinical details - Diagnostic pathway	James Haddow  Southern	Consider changing title of item 9 to 'Lynch syndrome / HNPCC' and the tooltip to 'Indicate the presence of Lynch syndrome (also known as Hereditary Non-polyposis Colorectal Cancer)'
http://canshare.com/fhir/Questionnaire/colorectaltumourrequestform	reviewercommentsabou	Reviewer comments about the tumour	Clinical information about tumour	James Haddow  Southern	Consider adding a field to title 'Surgeon's details to help orientate the specimen, identify of areas of oncological concern, and explain any extended or threatened resection margins.'
http://canshare.com/fhir/Questionnaire/colorectaltumourrequestform	reviewercommentsonpr	Reviewer comments on procedure	Tumour site	James Haddow  Southern	Consider providing the following tumour sites (in line with BCCA database) Rectum upper third (> 12cm) Rectum mid third (8-12cm) Rectum lower third (< 8cm) Unknown
http://canshare.com/fhir/Questionnaire/colorectaltumourrequestform	reviewercommentsonop	Reviewer comments on operative procedure section	Operative procedure	James Haddow  Southern	Consider revising operative procedures list to the following (in line with BCCA fields): Right hemicolectomy Extended right hemicolectomy Left hemicolectomy Sigmoid colectomy Total colectomy Sub total colectomy Proctocolectomy High anterior resection (10.1-15) Low anterior resection (6.1-10) Ultra low anterior resection (0-6) APR Hartmanns Miscellaneous operation (eg. for complication) Colo-anal anastomosis Transverse colectomy Local excision TEMS/TAMIS Laparotomy only Other
http://canshare.com/fhir/Questionnaire/breastreport-resections	reviewercommentsonfr	Reviewer comments on frozen section	Invasive reporting pathway - Frozen section	No practitioner supplied	None
http://canshare.com/fhir/Questionnaire/cervical/vaginalrequestform	admincomments	Reviewer comments on admin	Administrative information for request	No practitioner supplied	28. Timing for Urgent results:  Should be "By date (specify)" , not On date (specify)
http://canshare.com/fhir/Questionnaire/cervical/vaginalrequestform	reviewercommentsonva	Reviewer comments on vaccination details	Vaccination details	No practitioner supplied	what has happened to question 1 , which should be the vaccine type - options are Gardasil-4, Gardasil-9. Cervarix or Other type
http://canshare.com/fhir/Questionnaire/cervical/vaginalrequestform	reviewerfeedbackoncl1	Reviewer feedback on clinical details - Cytology/HPV	Clinical details - Cytology/HPV tests	No practitioner supplied	Specify Immune deficiency: Please add another option box between HIV+ve and immunosuppresive therapy. This is "Other immune deficiency disorder" Take black down arrows with Must be a VALID SNOMED code off all boxes Can we have options instead of a drop down box for the SCJ question ( 48). it should be SCJ, not SCI
http://canshare.com/fhir/Questionnaire/cervical/vaginalrequestform	reviewerfeedbackonpr	Reviewer feedback on previous cervical screening history	Previous cervical screening history	No practitioner supplied	14. Asks to tick the worst grade of abnormal histology - could the layout of this question be the same as the previous question asking for the highest grade of abnormal cytology? I.e. presented with the options as tick boxes straight up rather than having to click on a drop down menu. There is a little down arrow in all these boxes saying "must be a valid SNOMED code" This isn't a relevant comment - we wont be asking anyone for any "valid SNOMED codes" in this request form
http://canshare.com/fhir/Questionnaire/cervical/vaginalrequestform	reviewerfeedbackoncl	Reviewer feedback on clinical details - histology	Clinical details - Histology	No practitioner supplied	Take "valid SNOMED code comments off (black down arrows) 64. Should be SCJ, not SCI Under Colp impression- vagina, replace "Glandular abnormality" with "Vaginal adenosis" Take Vaginal lesions off the list
http://canshare.com/fhir/Questionnaire/cervical/vaginalrequestform	reviewerfeedbackonsa	Reviewer feedback on Sample type - Cytology/HPV tests	Sample type - Cytology/HPV tests	No practitioner supplied	take Must be a valid SNOMD code black arrow off
http://canshare.com/fhir/Questionnaire/cervical/vaginalrequestform	reviewercommentsonsp	Reviewer comments on specimen type - histology	Specimen type - Histology	No practitioner supplied	Take black down arrows with "Must be a valid SNOMED code " off - these aren't needed anywhere in the form. Can we have YES and NO tick boxes instead of a drop down?
http://canshare.com/fhir/Questionnaire/mdmdatastandard	ReviewerCommentsonDemos	Reviewer comments on patient details	Patient Details	Judy Warren  TAoTK	Agree
http://canshare.com/fhir/Questionnaire/mdmdatastandard	reviewedcomments	Reviewer comments	General practice details	Judy Warren  TAoTK	Should  phone number be numerical only?
http://canshare.com/fhir/Questionnaire/mdmdatastandard	reviewercomments	Reviewer comments	Referrer	Judy Warren  TAoTK	Q1 MDM tumour groups titles may vary in districts Q11 needs help text to explain Other Q 16 and 30 , can be multiple types so need to be able to give date, facility and  pathology accession number if known ( not mandatory )   for each
http://canshare.com/fhir/Questionnaire/mdmdatastandard	reviewercomments1	Reviewer comments	Patient Summary	Judy Warren  TAoTK	Q2, on reflection I'm not sure why we added this, doesn't it come in clinical summary or radiology and pathology question previous page?  Q18 needs a text box, drop down list to come?
http://canshare.com/fhir/Questionnaire/mdmdatastandard	reviewercomments2	reviewer comments	Previous MDM details	Judy Warren  TAoTK	Q3 MDM tumour groups titles may vary in districts
http://canshare.com/fhir/Questionnaire/mdmdatastandard	reviewerfeedback	Reviewer comments	Pathology review	Judy Warren  TAoTK	Q1, Add: Yes  Pathology report is Concordant with Clinical Impression ( yes pathology was reviewed at  the MDM but is concordant )  We need to clarify if  they mean  concordant with the  report
http://canshare.com/fhir/Questionnaire/mdmdatastandard	reviewercomments4	Reviewer comments	MDM discussion and recommendations	Judy Warren  TAoTK	Fields still to be added?  ? Move discussion above recommendations Q6  Curative
http://canshare.com/fhir/Questionnaire/mdmdatastandard	reviewercomments3	Reviewer comments	MDM meeting details	Judy Warren  TAoTK	Q 4 to be added, may be different names in districts
http://canshare.com/fhir/Questionnaire/mdmdatastandard	reviewercomments5	Reviewer comments	MDM administration	Judy Warren  TAoTK	Systems would build so can't have a completed,  declined and a deferred
http://canshare.com/fhir/Questionnaire/mdmdatastandard	ReviewerCommentsonDemos	Reviewer comments on patient details	Patient Details	Reviewer name  Org	feedback
http://canshare.com/fhir/Questionnaire/mdmdatastandard	reviewedcomments	Reviewer comments	General practice details	Reviewer name  Org	feedback
http://canshare.com/fhir/Questionnaire/mdmdatastandard	reviewercomments	Reviewer comments	Referrer	Reviewer name  Org	feedback feedback
http://canshare.com/fhir/Questionnaire/mdmdatastandard	reviewercomments1	Reviewer comments	Patient Summary	Reviewer name  Org	feedback
http://canshare.com/fhir/Questionnaire/mdmdatastandard	reviewercomments2	reviewer comments	Previous MDM details	Reviewer name  Org	feedback
http://canshare.com/fhir/Questionnaire/mdmdatastandard	reviewerfeedback1	Reviewer comments	Radiology review	Reviewer name  Org	feedback
http://canshare.com/fhir/Questionnaire/mdmdatastandard	reviewerfeedback	Reviewer comments	Pathology review	Reviewer name  Org	feedback
http://canshare.com/fhir/Questionnaire/mdmdatastandard	reviewercomments4	Reviewer comments	MDM discussion and recommendations	Reviewer name  Org	feedback
http://canshare.com/fhir/Questionnaire/mdmdatastandard	reviewercomments3	Reviewer comments	MDM meeting details	Reviewer name  Org	feedback
http://canshare.com/fhir/Questionnaire/mdmdatastandard	reviewercomments5	Reviewer comments	MDM administration	Reviewer name  Org	feedback
http://canshare.com/fhir/Questionnaire/mdmdatastandard	ReviewerCommentsonDemos	Reviewer comments on patient details	Patient Details	Elizabeth Dennett  Te Aho o Te Kahu	Why do you have gender and sex? if someone identifies as e.g. female in gender they are never going to be unknown sex in the next question this is just a duplicate question
http://canshare.com/fhir/Questionnaire/mdmdatastandard	reviewercomments	Reviewer comments	Referrer	Elizabeth Dennett  Te Aho o Te Kahu	what is the difference between referrer and lead practitioner? - they are usually one and the same
http://canshare.com/fhir/Questionnaire/mdmdatastandard	reviewercomments1	Reviewer comments	Patient Summary	Elizabeth Dennett  Te Aho o Te Kahu	what is meant by patient preferences? psychosocial? and the relevance of asking about non-clinical support here? this can be quite broad and is not the role of the MDM
http://canshare.com/fhir/Questionnaire/mdmdatastandard	reviewercomments5	Reviewer comments	MDM administration	Elizabeth Dennett  Te Aho o Te Kahu	If MDM referral is declined reason should be given
http://canshare.com/fhir/Questionnaire/breastreport-resections	reviewercommentsonma	Reviewer comments on Macroscopic section (invasive pathway)	Invasive reporting pathway - Macroscopic findings	AP	axillary dissection done usually not sampling
http://canshare.com/fhir/Questionnaire/mdmdatastandard	reviewercomments	Reviewer comments	Referrer	Michael Lau  Southern Community Laboratories	Options for 30 should be as follows (No before Yes): No: Pathology Report is Concordant with Clinical Impression No: Sample is Non-diagnostic  Yes: Pathology Report Diagnosis is Discordant with Clinical Impression Yes: Pathology Report Staging is Discordant with Clinical Impression Yes: Pathology Report Margin Assessment is Discordant with Clinical Impression Yes: Review slides from External Laboratory Yes Pathology pending: Provisional Pathology Report if possible as there will be a change in management prior to the next MDM Yes: Other: specify
http://canshare.com/fhir/Questionnaire/mdmdatastandard	ReviewerCommentsonDemos	Reviewer comments on patient details	Patient Details	JD  TAoTK	fields are fine but suggest add a red line to top view reminding reviewers that red fields are mandatory!!!!!!  Address field 9 does not need to be mandatory. Ethcnicity should be mandatory. Check Sex is mandatory. DoB Mandatory, and full name
http://canshare.com/fhir/Questionnaire/mdmdatastandard	reviewedcomments	Reviewer comments	General practice details	JD  TAoTK	fine
http://canshare.com/fhir/Questionnaire/mdmdatastandard	reviewercomments	Reviewer comments	Referrer	JD  TAoTK	Make Question for Radiology mandatory. expand note on field 26 re multi entry of dates for imaging ok. Field 29 should not be mandatory.  field 34 should be mandatory. Field 31 and 32 should be mandatory -  if No selected. add Accession number field into form.  Pathology Specimen type should be mandatory.
http://canshare.com/fhir/Questionnaire/mdmdatastandard	reviewercomments1	Reviewer comments	Patient Summary	JD  TAoTK	suggest call field 40. psychosocial serives required. Change question 20 and personal hx of cancer type into free text.
http://canshare.com/fhir/Questionnaire/mdmdatastandard	reviewercomments2	reviewer comments	Previous MDM details	JD  TAoTK	if previous record exists and its relevant then should be mandatory/auto populated - use most recent.
http://canshare.com/fhir/Questionnaire/mdmdatastandard	reviewercomments4	Reviewer comments	MDM discussion and recommendations	JD  TAoTK	field 26 - MDM recommendation - person responsible for actioning  field 30 FI - person responsible for actioning  JD - "person responsible for informing the patient" and  second field - "person responsible for actions"
http://canshare.com/fhir/Questionnaire/mdmdatastandard	reviewercomments1	Reviewer comments	Patient Summary	Clinton Lewis  Auckland City Hospital	Is this the appropriate place for psychosocial/non-clinical supports to be addressed? It doesn't seem like a focus area of a MDM (at least as they are managed in haematology). Additionally, comorbidities should be multi-select with the option to add additional detail where appropriate. Ideally should pull through from other EHR tools (e.g. problem lists) so important to have comorbidities structured as ?disorders from a SNOMED perspective.
http://canshare.com/fhir/Questionnaire/mdmdatastandard	reviewerfeedback1	Reviewer comments	Radiology review	Clinton Lewis  Auckland City Hospital	I'm not sure that this is going to be quite granular enough or provide enough detail - do the dates and details of imaging need to be included in this scan to document what was actually reviewed?
http://canshare.com/fhir/Questionnaire/mdmdatastandard	reviewerfeedback	Reviewer comments	Pathology review	Clinton Lewis  Auckland City Hospital	This isn't going to be sufficient for haematology - having a single block of text will not capture cytogenetic, molecular, flow cytometric, histologic, and cytologic parameters adequately. Additionally, there is no space for additional important details such as prognostic markers (e.g. LDH in lymphoma), number of sites involved, etc.  Furthermore the staging section makes no allowance for non-medical oncology staging which is important and disease/histology specific in haematology (and some medical oncology diagnoses).
http://canshare.com/fhir/Questionnaire/mdmdatastandard	reviewercomments4	Reviewer comments	MDM discussion and recommendations	Clinton Lewis  Auckland City Hospital	Grading of histology is only partially relevant to haematology. It is a very med onc specific feature.   The national data specification included additional terms for treatment intent for haematology after national consultation.   Having a discussion + recommendations sections separately is likely to be redundant and could probably be combined.
http://canshare.com/fhir/Questionnaire/thymic/mediastinalproforma	ReviewerCommentsonDemos	Reviewer comments on patient details	Patient Details	John M  Te Aho	test
http://canshare.com/fhir/Questionnaire/thymic/mediastinalproforma	reviewercommentsoncl	Reviewer comments on clinical information	Clinical information - Autopopulated from request form	John M  Te Aho	test
http://canshare.com/fhir/Questionnaire/mdmdatastandard	ReviewerCommentsonDemos	Reviewer comments on patient details	Patient Details	John - Test  Te Aho	fdfdf
http://canshare.com/fhir/Questionnaire/mdmdatastandard	ReviewerCommentsonDemos	Reviewer comments on patient details	Patient Details	John - Test  Te Aho	sdasdasd
http://canshare.com/fhir/Questionnaire/mdmdatastandard	reviewercomments5	Reviewer comments	MDM administration	John - Test  Te Aho	sadasdasdasd
http://canshare.com/fhir/Questionnaire/mdmdatastandard	reviewercomments2	reviewer comments	Previous MDM details	JM  Test	dfsdfsdf
http://canshare.com/fhir/Questionnaire/mdmdatastandard	reviewedcomments	Reviewer comments	General practice details	John Manderson  Te Aho o Te Kahu	test
http://canshare.com/fhir/Questionnaire/mdmdatastandard	reviewercomments3	Reviewer comments	MDM meeting details	John Manderson  Te Aho o Te Kahu	test
http://canshare.com/fhir/Questionnaire/mdmdatastandard	reviewercomments4	Reviewer comments	MDM discussion and recommendations	John  Te Aho	dasdasd
http://canshare.com/fhir/Questionnaire/mdmdatastandard	ReviewerCommentsonDemos	Reviewer comments on patient details	Patient Details	Alex  Te Aho	dasad
http://canshare.com/fhir/Questionnaire/mdmdatastandard	ReviewerCommentsonDemos	Reviewer comments on patient details	Patient Details	Iain Ward  Te Whatu Ora Waitaha	I presume that the dropdown list for ethnicity will be made more relevant to NZ. We don't need to know if a patient is Albanian, but do need to know Maori/Samoan/Tongan etc
http://canshare.com/fhir/Questionnaire/mdmdatastandard	reviewercomments1	Reviewer comments	Patient Summary	Iain Ward  Te Whatu Ora Waitaha	Suggest add "Connective Tissue Disease" as an option for Patient Comorbidities. This is important when considering suitability for RT. ECOG 5 could surely be omitted from the dropdown menu. A free text box should be added to provide details of family history.
http://canshare.com/fhir/Questionnaire/mdmdatastandard	reviewercomments4	Reviewer comments	MDM discussion and recommendations	Iain Ward  Te Whatu Ora Waitaha	"Uncertain" should be an option for Care Plan Intent. Often the intent cannot be established at the time of the MDM.
http://canshare.com/fhir/Questionnaire/mdmdatastandard	ReviewerCommentsonDemos	Reviewer comments on patient details	Patient Details	India Mikaere-Girvin  Te Whatu Ora	Importance of having the option for multiple ethnicities to with the first and secondary options, not just having the option to select one. With more relevant NZ based ethnicity before other options. Agree with the making it bold and obvious the mandatory points
http://canshare.com/fhir/Questionnaire/mdmdatastandard	ReviewerCommentsonDemos	Reviewer comments on patient details	Patient Details	Elizabeth Dennett  Te Aho	I'm just going to keep making my repeated comments about sex and gender
http://canshare.com/fhir/Questionnaire/mdmdatastandard	reviewercomments	Reviewer comments	Referrer	Elizabeth Dennett  Te Aho	7 and 9 are usually the same person
http://canshare.com/fhir/Questionnaire/mdmdatastandard	reviewercomments1	Reviewer comments	Patient Summary	Elizabeth Dennett  Te Aho	there is a lot of duplication in comorbidities e.g. CVD includes IHD and CHF suggest remove CVD box also CVA probably should be CVA / TIA UC / Crohns just make IBD asthma is COPD so don't need a separate box Cancer is usually the reason for the MDM so not yet a comorbidity
http://canshare.com/fhir/Questionnaire/mdmdatastandard	reviewercomments	Reviewer comments	Referrer	Masato Yozu  CMDHB	Pathology Specimen type : currently values but this needs to be free text, which is Alphanumeric (X). Specimen type can be anything and it should match the original pathology reports. Here are some examples of common specimen types. 'GASTRIC ANTRAL MASS BIOPSY'. 'MID OESOPHAGEAL LESION FNA', 'RECTOSIGMOID COLON (LOW ANTERIOR RESECTION'
http://canshare.com/fhir/Questionnaire/mdmdatastandard	reviewerfeedback	Reviewer comments	Pathology review	Masato Yozu  CMDHB	Pathology review cannot be mandatory. It should be optional. Some case do not have pathology.
http://canshare.com/fhir/Questionnaire/mdmdatastandard	reviewedcomments	Reviewer comments	General practice details	Jo Anson  Te Aho o Te Kahu	Should there be a box for 'no GP' - could act as a signal to the MDM that things like comorbidity management may not be optimal, potentially impacting on treatment decision making 9equity lens)
http://canshare.com/fhir/Questionnaire/mdmdatastandard	reviewercomments	Reviewer comments	Referrer	Jo Anson  Te Aho o Te Kahu	Item 6; Currently there are no requirements for clinicians to refer patients to the MDM purely for data collection purposes. I'm working on a memo with Gabrielle to potentially move NZ to a model of only discussing complex patients and registering the rest but this has yet to be agreed. Good that the function is in here for future use however we also need to consider what a minimum dataset might look like for patients that are only registered ie some of the current mandatory fields may not be appropriate
